occupation,age,education_level,marital_status,communication_channel,call_month,call_day,call_duration,call_frequency,previous_campaign_outcome,conversion_status
manual_worker,47,high_school,married,mobile,November,21,127,2,other_outcome,not_converted
technical_specialist,34,elementary_school,married,mobile,February,2,56,1,unidentified,not_converted
administrative_staff,31,high_school,divorced,mobile,May,18,17,7,other_outcome,not_converted
technical_specialist,45,high_school,married,mobile,July,9,113,1,unidentified,not_converted
manual_worker,27,elementary_school,single,unidentified,June,20,157,3,unidentified,not_converted
executive,60,college,married,mobile,May,26,189,2,unsuccessful,not_converted
business_owner,33,elementary_school,married,mobile,November,20,220,1,unidentified,not_converted
manual_worker,47,elementary_school,married,unidentified,May,7,113,1,unidentified,not_converted
executive,32,college,single,mobile,September,8,519,1,unsuccessful,converted
administrative_staff,39,college,single,mobile,November,18,346,1,other_outcome,not_converted
administrative_staff,30,high_school,single,mobile,July,16,561,9,unidentified,converted
executive,34,college,single,unidentified,May,7,105,2,unidentified,not_converted
student,27,college,single,mobile,February,22,368,1,unsuccessful,not_converted
manual_worker,31,high_school,single,mobile,May,14,350,2,unidentified,not_converted
technical_specialist,30,high_school,single,mobile,August,21,166,4,unidentified,not_converted
executive,30,college,married,mobile,January,29,250,1,other_outcome,not_converted
executive,55,high_school,divorced,mobile,February,6,25,1,unidentified,not_converted
retired_worker,55,high_school,married,mobile,May,13,87,3,unsuccessful,not_converted
manual_worker,31,high_school,married,mobile,July,30,130,3,unidentified,not_converted
manual_worker,40,elementary_school,married,unidentified,May,27,260,1,unidentified,not_converted
technical_specialist,34,high_school,married,mobile,April,8,375,2,unidentified,not_converted
technical_specialist,32,high_school,single,mobile,August,20,559,3,unidentified,not_converted
technical_specialist,35,college,single,unidentified,June,17,176,15,unidentified,not_converted
manual_worker,56,high_school,married,unidentified,May,14,129,1,unidentified,not_converted
manual_worker,50,high_school,married,unidentified,May,14,371,1,unidentified,not_converted
executive,37,college,divorced,mobile,May,18,106,1,unidentified,not_converted
technical_specialist,31,college,single,mobile,January,30,200,1,unsuccessful,not_converted
technical_specialist,38,high_school,single,mobile,July,11,891,2,unidentified,not_converted
independent_worker,35,high_school,married,landline,July,7,126,4,unidentified,not_converted
manual_worker,29,high_school,married,mobile,July,7,263,1,unidentified,not_converted
executive,30,college,divorced,mobile,August,13,382,3,unidentified,not_converted
jobless,53,high_school,married,unidentified,June,20,134,1,unidentified,not_converted
retired_worker,60,elementary_school,married,mobile,August,29,235,2,unidentified,not_converted
manual_worker,37,elementary_school,married,unidentified,June,20,37,3,unidentified,not_converted
technical_specialist,32,unidentified,married,mobile,May,26,112,1,unidentified,not_converted
domestic_worker,54,unidentified,married,unidentified,June,11,83,1,unidentified,not_converted
jobless,51,high_school,married,mobile,November,20,176,2,unidentified,not_converted
technical_specialist,35,high_school,married,mobile,August,19,299,2,unidentified,not_converted
service_worker,47,high_school,married,mobile,May,12,309,1,successful,converted
business_owner,44,high_school,married,mobile,November,18,280,2,unidentified,not_converted
executive,60,college,married,mobile,August,26,362,6,unidentified,not_converted
executive,30,college,single,mobile,August,25,142,4,unidentified,not_converted
retired_worker,59,high_school,married,mobile,August,6,601,2,unidentified,not_converted
manual_worker,39,elementary_school,married,unidentified,June,3,88,6,unidentified,not_converted
manual_worker,47,elementary_school,married,unidentified,May,13,262,1,unidentified,not_converted
technical_specialist,31,high_school,married,mobile,July,10,114,1,unidentified,not_converted
administrative_staff,36,college,single,mobile,February,5,195,1,unsuccessful,converted
business_owner,41,college,married,unidentified,May,29,553,1,unidentified,not_converted
executive,28,college,married,mobile,August,4,849,1,unidentified,converted
manual_worker,41,unidentified,single,unidentified,May,28,53,1,unidentified,not_converted
administrative_staff,39,high_school,married,unidentified,June,3,187,2,unidentified,not_converted
administrative_staff,43,high_school,married,unidentified,June,20,27,1,unidentified,not_converted
administrative_staff,46,high_school,married,mobile,July,23,250,1,unidentified,not_converted
manual_worker,51,elementary_school,married,mobile,November,20,168,3,unidentified,not_converted
administrative_staff,32,high_school,single,mobile,February,2,75,1,unsuccessful,not_converted
manual_worker,35,high_school,single,mobile,May,13,173,2,unidentified,not_converted
executive,46,unidentified,married,mobile,January,30,445,1,unsuccessful,not_converted
technical_specialist,48,college,single,mobile,May,5,124,2,other_outcome,not_converted
executive,31,college,single,mobile,November,18,235,1,unsuccessful,not_converted
manual_worker,35,elementary_school,married,mobile,May,14,320,2,other_outcome,not_converted
manual_worker,33,high_school,married,unidentified,May,12,92,4,unidentified,not_converted
executive,38,college,single,mobile,August,27,101,6,unidentified,not_converted
technical_specialist,45,high_school,married,mobile,August,8,156,2,unidentified,not_converted
technical_specialist,30,high_school,single,unidentified,June,2,21,1,unidentified,not_converted
manual_worker,49,high_school,married,unidentified,May,16,193,11,unidentified,not_converted
manual_worker,40,high_school,married,mobile,May,13,64,5,other_outcome,not_converted
executive,57,college,married,mobile,November,2,131,2,unidentified,not_converted
manual_worker,45,elementary_school,married,mobile,August,29,133,4,unidentified,not_converted
jobless,28,high_school,single,mobile,June,4,114,3,unidentified,not_converted
business_owner,34,high_school,married,mobile,May,5,184,1,unsuccessful,not_converted
retired_worker,67,elementary_school,married,mobile,September,11,96,2,unidentified,not_converted
manual_worker,27,high_school,married,unidentified,May,14,332,2,unidentified,not_converted
manual_worker,49,elementary_school,married,mobile,April,17,76,1,unsuccessful,not_converted
independent_worker,28,college,single,mobile,May,25,426,1,unidentified,converted
service_worker,29,high_school,single,mobile,July,8,510,1,unidentified,not_converted
technical_specialist,31,high_school,single,mobile,April,17,469,3,other_outcome,not_converted
manual_worker,47,high_school,married,mobile,May,6,121,1,unidentified,not_converted
business_owner,21,college,single,mobile,August,5,323,1,unidentified,converted
domestic_worker,29,college,single,mobile,August,13,126,2,unidentified,not_converted
independent_worker,42,college,divorced,unidentified,June,24,110,5,unidentified,not_converted
executive,35,high_school,married,unidentified,May,23,50,3,unidentified,not_converted
executive,37,college,married,unidentified,May,5,98,2,unidentified,not_converted
independent_worker,34,college,single,mobile,April,30,430,1,unidentified,converted
executive,37,college,married,mobile,September,7,337,1,successful,converted
technical_specialist,55,college,married,mobile,August,21,545,4,unidentified,not_converted
retired_worker,61,high_school,married,mobile,June,22,292,1,unsuccessful,not_converted
manual_worker,39,high_school,married,mobile,May,12,612,1,unidentified,converted
manual_worker,32,elementary_school,single,unidentified,May,5,160,1,unidentified,not_converted
technical_specialist,32,college,single,mobile,August,8,31,2,unidentified,not_converted
independent_worker,31,high_school,single,mobile,November,20,1145,4,unidentified,not_converted
manual_worker,42,elementary_school,married,unidentified,May,20,163,2,unidentified,not_converted
service_worker,46,high_school,divorced,unidentified,May,19,579,1,unidentified,not_converted
executive,35,high_school,married,mobile,November,18,378,1,unidentified,not_converted
manual_worker,39,high_school,married,mobile,May,8,153,1,unsuccessful,not_converted
technical_specialist,52,high_school,married,mobile,July,8,310,1,unidentified,not_converted
executive,45,college,married,mobile,November,18,179,2,unidentified,not_converted
technical_specialist,48,college,divorced,mobile,August,20,212,2,unidentified,not_converted
executive,30,college,single,unidentified,May,23,135,1,unidentified,not_converted
manual_worker,28,high_school,single,mobile,April,20,89,1,unidentified,not_converted
manual_worker,33,high_school,single,unidentified,June,2,689,3,unidentified,not_converted
executive,28,college,single,mobile,July,28,486,5,unidentified,converted
executive,32,college,married,mobile,August,18,271,8,unidentified,not_converted
manual_worker,26,high_school,married,mobile,May,18,253,2,unidentified,not_converted
business_owner,36,high_school,single,mobile,April,1,131,1,unidentified,not_converted
executive,45,college,married,unidentified,May,30,340,1,unidentified,not_converted
manual_worker,26,high_school,married,unidentified,May,12,49,2,unidentified,not_converted
manual_worker,32,high_school,married,landline,November,20,90,2,unidentified,not_converted
technical_specialist,43,high_school,divorced,mobile,May,5,674,2,unsuccessful,not_converted
technical_specialist,41,high_school,single,unidentified,June,2,76,2,unidentified,not_converted
manual_worker,54,high_school,married,unidentified,May,15,55,1,unidentified,not_converted
technical_specialist,24,high_school,married,mobile,August,18,460,2,unidentified,converted
administrative_staff,43,high_school,married,unidentified,May,26,163,2,unidentified,not_converted
executive,37,college,married,mobile,July,23,181,1,unidentified,not_converted
manual_worker,27,high_school,single,unidentified,May,13,174,1,unidentified,not_converted
technical_specialist,36,high_school,single,unidentified,June,2,164,1,unidentified,not_converted
administrative_staff,56,high_school,married,mobile,October,7,223,1,unidentified,not_converted
executive,42,college,married,mobile,July,15,133,4,unidentified,not_converted
business_owner,54,unidentified,divorced,landline,April,6,475,6,unsuccessful,converted
administrative_staff,27,high_school,single,mobile,July,17,114,1,unidentified,not_converted
executive,34,college,single,mobile,August,12,68,2,unidentified,not_converted
service_worker,42,elementary_school,married,unidentified,May,14,162,1,unidentified,not_converted
manual_worker,40,high_school,married,unidentified,June,20,1036,5,unidentified,converted
administrative_staff,38,high_school,married,mobile,March,3,136,2,unsuccessful,converted
executive,32,college,single,mobile,January,13,130,1,unidentified,not_converted
technical_specialist,37,high_school,married,mobile,July,11,906,2,unidentified,not_converted
executive,56,college,divorced,mobile,May,13,155,1,unidentified,not_converted
manual_worker,30,high_school,married,mobile,November,19,174,2,unidentified,not_converted
service_worker,38,unidentified,single,unidentified,June,17,76,6,unidentified,not_converted
technical_specialist,38,college,married,unidentified,June,12,112,2,unidentified,not_converted
jobless,33,high_school,single,mobile,February,4,1052,2,unidentified,not_converted
technical_specialist,28,high_school,single,mobile,February,9,16,9,unidentified,not_converted
administrative_staff,51,high_school,single,landline,July,28,126,8,unidentified,not_converted
retired_worker,56,elementary_school,married,mobile,August,27,89,23,unidentified,not_converted
manual_worker,28,elementary_school,married,mobile,July,22,443,1,unidentified,not_converted
manual_worker,51,elementary_school,married,mobile,August,27,134,6,unidentified,not_converted
executive,34,college,single,mobile,July,14,56,3,unidentified,not_converted
independent_worker,28,college,single,mobile,July,9,618,1,unidentified,not_converted
executive,46,college,single,mobile,April,17,175,1,unidentified,not_converted
executive,43,college,married,mobile,January,28,152,1,unidentified,not_converted
manual_worker,36,high_school,married,mobile,April,20,345,2,other_outcome,not_converted
executive,46,college,married,mobile,August,29,515,3,unidentified,not_converted
service_worker,30,high_school,married,mobile,July,28,168,6,unidentified,not_converted
executive,56,college,married,mobile,August,19,113,6,unidentified,not_converted
manual_worker,32,high_school,married,mobile,May,15,16,9,unsuccessful,not_converted
technical_specialist,27,high_school,single,mobile,July,25,67,3,unidentified,not_converted
service_worker,31,high_school,single,unidentified,May,23,157,1,unidentified,not_converted
manual_worker,23,elementary_school,married,mobile,May,15,509,3,other_outcome,not_converted
retired_worker,56,high_school,married,landline,May,11,267,1,unsuccessful,not_converted
manual_worker,32,high_school,single,mobile,April,20,533,1,unidentified,not_converted
administrative_staff,46,high_school,married,mobile,March,27,243,3,other_outcome,converted
executive,40,high_school,single,mobile,May,5,67,4,unidentified,not_converted
executive,56,college,divorced,mobile,February,19,134,3,unsuccessful,not_converted
manual_worker,39,high_school,divorced,unidentified,May,6,226,2,unidentified,not_converted
executive,35,high_school,married,mobile,August,7,92,2,unidentified,not_converted
technical_specialist,50,college,divorced,mobile,July,24,604,2,unidentified,not_converted
manual_worker,32,high_school,married,mobile,February,3,22,4,unidentified,not_converted
technical_specialist,41,high_school,divorced,mobile,July,11,59,2,unidentified,not_converted
executive,34,high_school,married,mobile,November,20,311,3,unsuccessful,not_converted
executive,29,college,single,mobile,June,3,313,2,unidentified,converted
administrative_staff,48,high_school,married,mobile,July,22,599,2,unidentified,not_converted
technical_specialist,57,high_school,divorced,mobile,August,14,280,4,unidentified,not_converted
executive,46,high_school,divorced,mobile,July,24,72,5,unidentified,not_converted
retired_worker,60,elementary_school,married,mobile,August,14,210,4,unidentified,not_converted
executive,31,college,single,unidentified,June,9,122,2,unidentified,not_converted
executive,33,college,married,mobile,August,29,27,7,unidentified,not_converted
business_owner,47,college,married,landline,July,11,87,2,unidentified,not_converted
technical_specialist,32,high_school,married,mobile,November,19,79,1,unidentified,not_converted
technical_specialist,39,college,married,mobile,May,28,589,3,other_outcome,not_converted
domestic_worker,32,high_school,divorced,mobile,July,11,93,2,unidentified,not_converted
manual_worker,40,elementary_school,married,unidentified,May,15,94,1,unidentified,not_converted
manual_worker,35,high_school,married,unidentified,May,29,1185,3,unidentified,not_converted
jobless,39,high_school,divorced,unidentified,May,8,184,1,unidentified,not_converted
technical_specialist,31,high_school,single,mobile,August,11,144,2,unidentified,not_converted
administrative_staff,28,high_school,married,mobile,March,17,395,1,successful,not_converted
technical_specialist,31,high_school,married,mobile,November,20,364,1,unidentified,not_converted
executive,38,college,married,mobile,September,24,246,12,unsuccessful,not_converted
service_worker,40,high_school,married,unidentified,May,16,1252,1,unidentified,converted
manual_worker,33,elementary_school,married,unidentified,May,13,851,4,unidentified,not_converted
independent_worker,36,college,single,mobile,May,15,33,1,unsuccessful,not_converted
manual_worker,59,elementary_school,married,mobile,July,8,165,1,unidentified,not_converted
service_worker,32,college,married,mobile,May,13,491,2,unidentified,not_converted
technical_specialist,32,college,single,mobile,May,18,542,2,unidentified,converted
service_worker,56,high_school,divorced,unidentified,June,9,47,1,unidentified,not_converted
executive,49,college,married,mobile,November,17,324,1,unsuccessful,not_converted
business_owner,47,college,married,mobile,May,5,418,3,unidentified,not_converted
jobless,38,elementary_school,married,unidentified,June,12,340,2,unidentified,not_converted
independent_worker,34,college,married,mobile,July,10,58,1,unidentified,not_converted
executive,30,college,single,mobile,August,12,111,4,unidentified,not_converted
technical_specialist,53,unidentified,divorced,mobile,May,8,298,1,unidentified,not_converted
technical_specialist,39,high_school,married,unidentified,May,23,63,1,unidentified,not_converted
manual_worker,26,high_school,married,mobile,May,14,1094,2,unidentified,converted
executive,55,college,divorced,mobile,February,2,159,1,unidentified,not_converted
manual_worker,35,high_school,single,mobile,May,13,161,2,unidentified,not_converted
technical_specialist,31,college,single,unidentified,November,8,154,1,unidentified,converted
manual_worker,34,high_school,single,unidentified,May,27,153,2,unidentified,not_converted
technical_specialist,47,college,divorced,mobile,August,29,62,2,unidentified,not_converted
executive,30,college,single,unidentified,May,23,534,1,unidentified,not_converted
manual_worker,39,elementary_school,married,unidentified,May,21,353,1,unidentified,not_converted
retired_worker,64,high_school,married,landline,June,15,208,1,unidentified,converted
domestic_worker,49,elementary_school,married,landline,July,9,106,1,unidentified,not_converted
service_worker,31,high_school,single,mobile,May,11,227,1,unidentified,not_converted
manual_worker,47,elementary_school,married,unidentified,May,13,771,2,unidentified,not_converted
technical_specialist,50,college,single,unidentified,May,5,2,3,unidentified,not_converted
manual_worker,38,high_school,married,unidentified,June,20,22,12,unidentified,not_converted
manual_worker,46,elementary_school,married,mobile,August,6,196,2,unidentified,not_converted
administrative_staff,39,high_school,married,mobile,August,16,143,2,unsuccessful,not_converted
service_worker,48,high_school,single,mobile,November,19,442,1,unidentified,not_converted
manual_worker,36,elementary_school,single,unidentified,May,23,117,2,unidentified,not_converted
executive,30,college,single,unidentified,June,3,242,2,unidentified,not_converted
technical_specialist,42,high_school,married,unidentified,May,26,63,1,unidentified,not_converted
administrative_staff,22,college,single,mobile,February,4,133,4,unidentified,converted
technical_specialist,34,high_school,single,mobile,November,17,303,1,unsuccessful,not_converted
manual_worker,34,high_school,married,unidentified,June,2,466,2,unidentified,not_converted
service_worker,39,high_school,divorced,landline,July,28,148,2,unidentified,not_converted
service_worker,53,elementary_school,divorced,mobile,November,17,182,3,unidentified,not_converted
business_owner,37,high_school,married,mobile,April,17,100,1,unidentified,not_converted
domestic_worker,55,elementary_school,married,mobile,August,11,189,2,unidentified,not_converted
executive,31,college,single,mobile,September,2,114,2,unsuccessful,not_converted
service_worker,52,high_school,divorced,landline,November,21,76,1,unsuccessful,not_converted
manual_worker,40,elementary_school,married,unidentified,May,14,977,1,unidentified,not_converted
administrative_staff,26,high_school,married,mobile,April,8,209,1,unidentified,converted
service_worker,57,high_school,married,unidentified,May,14,356,1,unidentified,not_converted
retired_worker,58,elementary_school,married,unidentified,June,16,204,4,unidentified,not_converted
manual_worker,48,unidentified,single,mobile,May,18,127,1,unidentified,not_converted
manual_worker,52,elementary_school,single,unidentified,May,12,154,1,unidentified,not_converted
domestic_worker,54,elementary_school,divorced,unidentified,June,9,117,2,unidentified,not_converted
retired_worker,77,college,married,mobile,October,16,847,1,successful,converted
administrative_staff,35,high_school,divorced,mobile,February,6,12,7,unsuccessful,not_converted
technical_specialist,33,high_school,married,mobile,August,8,151,2,unidentified,not_converted
manual_worker,41,elementary_school,married,unidentified,May,29,159,1,unidentified,not_converted
retired_worker,70,high_school,married,mobile,April,14,318,1,unsuccessful,not_converted
executive,32,college,single,mobile,April,20,148,2,unidentified,not_converted
technical_specialist,47,high_school,married,mobile,August,28,118,8,unidentified,not_converted
independent_worker,35,college,single,mobile,January,28,203,1,unidentified,not_converted
administrative_staff,52,high_school,divorced,mobile,November,17,591,1,unidentified,not_converted
manual_worker,55,high_school,married,mobile,February,6,354,5,unidentified,not_converted
technical_specialist,62,unidentified,married,mobile,April,22,292,4,other_outcome,not_converted
retired_worker,73,high_school,divorced,mobile,April,12,284,1,successful,not_converted
executive,33,college,single,mobile,January,28,757,2,unidentified,not_converted
executive,32,college,single,mobile,November,20,377,3,unidentified,not_converted
technical_specialist,53,high_school,divorced,mobile,November,18,151,1,unidentified,not_converted
administrative_staff,43,high_school,single,unidentified,July,1,110,2,unidentified,not_converted
service_worker,52,high_school,divorced,mobile,May,6,78,1,unsuccessful,not_converted
executive,39,high_school,married,landline,April,17,141,4,unidentified,not_converted
service_worker,44,high_school,married,mobile,January,28,123,1,unidentified,not_converted
service_worker,41,high_school,married,mobile,July,2,237,2,unidentified,not_converted
technical_specialist,31,college,single,mobile,August,8,309,2,unidentified,not_converted
manual_worker,51,elementary_school,married,unidentified,May,26,153,1,unidentified,not_converted
technical_specialist,30,high_school,divorced,mobile,July,21,101,1,unidentified,not_converted
student,32,college,single,mobile,June,30,598,4,unsuccessful,converted
executive,56,college,divorced,landline,May,18,325,1,unidentified,not_converted
technical_specialist,38,high_school,single,mobile,May,14,498,1,successful,not_converted
executive,55,high_school,married,unidentified,June,18,192,1,unidentified,not_converted
executive,45,college,single,unidentified,May,29,54,1,unidentified,not_converted
independent_worker,38,college,married,mobile,August,29,117,3,unidentified,not_converted
executive,42,unidentified,married,mobile,May,18,212,1,unidentified,not_converted
technical_specialist,51,high_school,divorced,mobile,August,26,169,2,unidentified,not_converted
service_worker,53,high_school,married,mobile,April,17,307,1,unidentified,not_converted
manual_worker,39,high_school,married,unidentified,June,20,9,5,unidentified,not_converted
manual_worker,45,high_school,single,mobile,October,6,572,1,unidentified,not_converted
executive,38,college,married,unidentified,May,13,568,4,unidentified,converted
business_owner,42,high_school,divorced,mobile,May,12,580,1,unidentified,converted
manual_worker,45,unidentified,married,mobile,August,19,211,2,unidentified,not_converted
service_worker,32,high_school,single,mobile,May,14,46,1,unidentified,not_converted
manual_worker,44,elementary_school,married,unidentified,May,14,225,2,unidentified,not_converted
student,22,high_school,single,mobile,June,28,181,2,unidentified,not_converted
technical_specialist,31,high_school,married,mobile,August,29,156,2,unidentified,not_converted
manual_worker,32,high_school,single,mobile,May,15,692,3,unidentified,converted
technical_specialist,39,unidentified,married,unidentified,May,16,29,1,unidentified,not_converted
administrative_staff,52,high_school,married,landline,February,2,35,1,unidentified,not_converted
service_worker,38,high_school,married,mobile,November,18,206,2,unidentified,not_converted
manual_worker,42,high_school,divorced,mobile,April,17,620,1,unidentified,not_converted
executive,58,elementary_school,married,unidentified,May,30,171,2,unidentified,not_converted
independent_worker,50,college,divorced,unidentified,May,28,67,2,unidentified,not_converted
executive,33,college,married,mobile,July,28,54,3,unidentified,not_converted
manual_worker,45,high_school,married,unidentified,May,19,221,2,unidentified,not_converted
executive,30,college,married,unidentified,June,7,6,1,unidentified,not_converted
manual_worker,36,high_school,married,unidentified,June,9,198,2,unidentified,not_converted
technical_specialist,52,high_school,married,unidentified,May,29,70,2,unidentified,not_converted
jobless,53,elementary_school,single,mobile,June,9,835,2,unidentified,not_converted
manual_worker,50,elementary_school,married,unidentified,May,15,116,1,unidentified,not_converted
technical_specialist,35,high_school,married,unidentified,June,17,445,2,unidentified,not_converted
student,22,college,single,mobile,August,19,338,1,unidentified,converted
administrative_staff,31,high_school,single,unidentified,June,3,14,1,unidentified,not_converted
technical_specialist,30,high_school,married,unidentified,May,30,189,5,unidentified,not_converted
administrative_staff,59,high_school,single,mobile,May,7,574,1,unidentified,converted
manual_worker,32,elementary_school,single,unidentified,May,30,61,2,unidentified,not_converted
technical_specialist,45,high_school,married,landline,July,22,27,1,unidentified,not_converted
administrative_staff,28,college,single,mobile,February,9,92,7,unidentified,not_converted
student,37,high_school,single,mobile,February,5,187,1,other_outcome,not_converted
business_owner,43,college,married,unidentified,June,3,38,3,unidentified,not_converted
executive,37,high_school,divorced,mobile,April,20,196,2,unsuccessful,not_converted
executive,33,college,married,mobile,July,8,1111,1,unidentified,not_converted
executive,47,unidentified,married,unidentified,June,9,52,1,unidentified,not_converted
administrative_staff,37,high_school,single,mobile,July,7,106,1,unidentified,not_converted
jobless,29,high_school,single,mobile,February,2,137,1,unidentified,not_converted
service_worker,54,high_school,married,unidentified,May,6,196,2,unidentified,not_converted
administrative_staff,44,unidentified,single,unidentified,May,13,443,1,unidentified,not_converted
independent_worker,57,college,married,mobile,May,26,132,6,unsuccessful,not_converted
retired_worker,58,high_school,married,unidentified,May,28,362,3,unidentified,not_converted
student,26,high_school,single,mobile,February,2,406,1,unidentified,not_converted
administrative_staff,52,high_school,married,mobile,July,10,168,1,unidentified,not_converted
service_worker,41,elementary_school,married,mobile,April,17,122,1,unsuccessful,not_converted
service_worker,59,high_school,married,mobile,February,9,105,2,unidentified,not_converted
manual_worker,30,high_school,single,unidentified,May,16,329,1,unidentified,not_converted
domestic_worker,57,college,married,mobile,November,17,1070,1,unidentified,not_converted
executive,36,college,divorced,mobile,April,14,114,1,unidentified,not_converted
technical_specialist,26,high_school,divorced,unidentified,May,27,133,1,unidentified,not_converted
independent_worker,32,college,married,mobile,February,4,192,2,unsuccessful,not_converted
technical_specialist,29,college,single,mobile,May,11,279,2,unidentified,not_converted
independent_worker,41,college,married,mobile,November,18,265,1,unidentified,not_converted
manual_worker,28,high_school,single,mobile,May,14,178,2,unsuccessful,not_converted
executive,61,college,married,mobile,April,15,114,1,unidentified,not_converted
executive,55,elementary_school,married,mobile,July,21,162,2,unidentified,not_converted
executive,58,college,single,mobile,August,22,72,2,unidentified,not_converted
executive,47,high_school,married,mobile,August,6,302,4,unidentified,not_converted
technical_specialist,50,high_school,married,mobile,November,18,126,2,unidentified,not_converted
executive,35,college,married,mobile,July,7,371,2,unidentified,not_converted
service_worker,31,high_school,married,mobile,July,14,97,2,unidentified,not_converted
administrative_staff,41,high_school,divorced,mobile,February,5,92,1,unidentified,not_converted
executive,33,college,married,mobile,August,29,168,2,unidentified,not_converted
business_owner,39,college,married,unidentified,May,29,102,1,unidentified,not_converted
administrative_staff,38,high_school,married,mobile,July,8,124,1,unidentified,not_converted
